5.001E-03 -3.481E-03;-5.749E-04 -9.683E-03;-7.124E-03 -3.604E-04;-1.272E-03 9.438E-03;5.853E-03 3.321E-03;4.450E-04 -5.947E-03;-5.693E-03 -4.463E-03;-7.697E-04 -1.909E-03;3.216E-03 -3.546E-03;-9.418E-04 2.013E-03;-3.761E-04 1.143E-02;5.739E-03 6.821E-03;9.211E-04 -6.903E-03;-1.150E-02 -7.873E-03;-9.953E-03 3.004E-03;4.382E-03 6.976E-03;9.941E-03 1.802E-03;3.100E-03 -9.884E-04;-2.382E-03 3.133E-04;-3.415E-03 4.863E-04;-4.793E-03 3.688E-04;-2.643E-03 1.654E-03;5.631E-03 2.914E-04;9.984E-03 -5.514E-03;3.771E-03 -8.951E-03;-3.388E-03 -3.475E-03;-1.187E-03 5.683E-03;6.054E-03 6.526E-03;8.405E-03 -2.551E-03;3.839E-03 -9.629E-03;-2.848E-03 -6.468E-03;-6.437E-03 1.557E-03;-4.397E-03 6.070E-03;8.960E-04 5.292E-03;4.335E-03 9.047E-04;4.334E-03 -4.688E-03;1.992E-03 -7.007E-03;-2.742E-03 -2.518E-03;-5.935E-03 5.867E-03;-5.752E-04 9.442E-03;7.972E-03 3.270E-03;5.469E-03 -4.732E-03;-4.675E-03 -2.960E-03;-5.532E-03 4.151E-03;6.800E-04 2.409E-03;-3.391E-04 -5.598E-03;-2.373E-03 -5.631E-03;5.405E-03 -1.243E-04;8.744E-03 3.270E-05;-2.955E-03 7.395E-04;-9.773E-03 7.630E-03;-7.750E-04 6.184E-03;3.498E-03 -7.826E-03;-4.355E-03 -1.146E-02;-4.714E-03 3.427E-03;3.708E-03 1.320E-02;1.357E-03 7.181E-03;-8.923E-03 2.465E-03;-9.175E-03 5.253E-03;-3.543E-03 4.087E-03;-4.576E-03 3.159E-04;-6.106E-03 3.427E-03;-8.826E-04 6.382E-03;3.002E-03 -5.184E-04
-1.132E-03 -3.434E-03;-2.179E-03 -1.185E-02;-4.353E-03 -1.457E-02;-1.072E-03 -7.046E-03;5.957E-03 9.102E-05;4.624E-03 1.366E-03;-4.142E-03 6.396E-03;-7.412E-03 1.407E-02;-6.746E-03 1.142E-02;-1.207E-02 3.632E-03;-1.706E-02 5.483E-03;-1.187E-02 1.005E-02;-4.301E-03 4.668E-03;-2.821E-03 -1.552E-03;-1.064E-03 1.227E-03;4.270E-03 3.215E-03;4.752E-03 -1.532E-03;-1.816E-03 -2.698E-03;-6.112E-03 3.073E-03;-2.519E-03 5.772E-03;4.157E-03 1.557E-03;6.023E-03 -3.626E-03;9.189E-04 -5.589E-03;-4.874E-03 -3.737E-03;-4.813E-03 6.138E-04;-9.692E-04 3.043E-03;1.688E-03 8.568E-04;2.739E-03 -3.010E-03;1.142E-03 -5.161E-03;-4.799E-03 -4.172E-03;-8.174E-03 1.178E-03;-9.519E-04 7.133E-03;9.527E-03 4.910E-03;1.001E-02 -4.778E-03;2.796E-03 -8.346E-03;2.048E-05 -2.973E-04;3.548E-03 7.392E-03;6.002E-03 6.044E-03;5.579E-03 1.686E-03;6.665E-03 -2.620E-03;8.851E-03 -1.197E-02;7.535E-03 -1.926E-02;6.006E-03 -9.769E-03;1.171E-02 7.089E-03;1.673E-02 7.134E-03;5.293E-03 -4.594E-03;-1.314E-02 -3.251E-03;-1.220E-02 6.517E-03;4.246E-03 2.477E-03;7.497E-03 -6.479E-03;-3.130E-03 2.188E-04;-5.627E-03 9.118E-03;-3.837E-03 2.031E-03;-1.245E-02 -2.960E-03;-1.562E-02 9.694E-03;8.298E-04 1.766E-02;1.061E-02 6.096E-03;-6.045E-03 -2.441E-03;-2.200E-02 6.036E-03;-1.331E-02 1.278E-02;1.712E-03 5.894E-03;4.122E-03 -2.452E-03;2.764E-03 -4.198E-03;3.922E-03 -3.960E-03
-6.329E-04 -4.093E-03;-2.520E-03 -1.411E-02;-5.665E-03 -1.681E-02;-1.972E-03 -7.480E-03;6.370E-03 1.443E-03;5.466E-03 4.061E-03;-3.884E-03 1.015E-02;-8.267E-03 1.671E-02;-1.058E-02 1.098E-02;-2.001E-02 3.354E-03;-2.495E-02 9.899E-03;-1.447E-02 1.631E-02;-3.684E-03 6.384E-03;-4.325E-03 -4.020E-03;-3.427E-03 -1.211E-03;5.185E-03 8.047E-04;7.378E-03 -3.696E-03;-1.086E-04 4.936E-05;-3.402E-03 1.090E-02;8.867E-04 1.119E-02;3.453E-03 1.042E-03;1.893E-03 -6.130E-03;6.399E-04 -8.550E-03;1.291E-03 -9.596E-03;3.729E-03 -7.325E-03;7.100E-03 -4.031E-03;8.497E-03 -4.854E-03;6.776E-03 -6.603E-03;3.039E-03 -4.866E-03;-2.178E-03 -1.987E-03;-5.320E-03 1.193E-03;-1.031E-03 5.026E-03;6.604E-03 3.174E-03;6.843E-03 -5.790E-03;1.783E-04 -8.998E-03;-2.136E-03 -1.999E-04;2.621E-03 7.513E-03;6.103E-03 5.332E-03;5.030E-03 1.426E-03;4.362E-03 -7.689E-04;4.951E-03 -7.816E-03;3.114E-03 -1.348E-02;2.647E-03 -4.577E-03;9.715E-03 8.560E-03;1.471E-02 5.292E-03;3.235E-03 -5.693E-03;-1.306E-02 -2.527E-03;-9.823E-03 6.007E-03;5.844E-03 3.560E-04;7.131E-03 -6.631E-03;-2.786E-03 2.739E-03;-3.720E-03 1.064E-02;-3.688E-03 1.200E-03;-1.476E-02 -3.240E-03;-1.567E-02 1.088E-02;4.473E-03 1.758E-02;1.210E-02 5.292E-03;-9.494E-03 7.680E-04;-2.505E-02 1.267E-02;-1.331E-02 1.534E-02;4.391E-04 2.201E-03;1.467E-03 -5.580E-03;4.350E-03 -3.161E-03;8.479E-03 -2.469E-03
4.307E-05 -4.330E-03;-2.603E-03 -1.258E-02;-5.594E-03 -1.415E-02;-2.148E-03 -5.509E-03;5.382E-03 2.710E-03;5.453E-03 5.354E-03;-1.884E-03 1.010E-02;-6.820E-03 1.419E-02;-1.183E-02 8.305E-03;-2.207E-02 3.442E-03;-2.512E-02 1.193E-02;-1.318E-02 1.727E-02;-3.128E-03 5.467E-03;-4.919E-03 -5.404E-03;-3.618E-03 -2.781E-03;5.995E-03 -1.439E-03;8.281E-03 -4.551E-03;1.194E-03 3.225E-03;-7.231E-04 1.591E-02;2.843E-03 1.331E-02;1.770E-03 1.529E-06;-1.043E-03 -7.625E-03;1.713E-03 -1.099E-02;6.939E-03 -1.475E-02;1.067E-02 -1.378E-02;1.359E-02 -9.805E-03;1.381E-02 -9.760E-03;9.828E-03 -9.319E-03;5.027E-03 -3.925E-03;8.930E-04 9.667E-05;-2.690E-03 9.310E-04;-1.852E-03 3.026E-03;3.037E-03 1.574E-03;3.225E-03 -6.851E-03;-2.664E-03 -9.617E-03;-4.243E-03 -5.655E-05;1.668E-03 7.638E-03;5.899E-03 5.085E-03;4.056E-03 2.284E-03;9.906E-04 2.804E-03;-1.312E-03 -5.726E-04;-4.040E-03 -3.363E-03;-2.849E-03 3.442E-03;5.242E-03 9.624E-03;1.013E-02 2.322E-03;1.598E-03 -6.667E-03;-9.706E-03 -2.236E-03;-6.475E-03 4.709E-03;4.859E-03 7.338E-04;5.855E-03 -2.537E-03;-3.915E-04 4.764E-03;-1.436E-03 7.575E-03;-4.446E-03 -1.079E-03;-1.431E-02 -1.828E-03;-1.157E-02 1.048E-02;7.528E-03 1.308E-02;1.140E-02 2.175E-03;-9.747E-03 1.753E-03;-2.208E-02 1.350E-02;-1.080E-02 1.321E-02;-3.392E-04 -1.268E-04;5.383E-04 -5.586E-03;6.029E-03 -2.236E-03;9.899E-03 -2.116E-03
7.813E-04 -3.331E-03;-2.139E-03 -7.356E-03;-4.177E-03 -7.579E-03;-1.890E-03 -1.950E-03;3.270E-03 3.438E-03;5.104E-03 4.512E-03;1.675E-03 5.727E-03;-3.257E-03 7.130E-03;-9.324E-03 4.144E-03;-1.661E-02 2.986E-03;-1.740E-02 9.829E-03;-8.832E-03 1.266E-02;-2.507E-03 3.030E-03;-3.815E-03 -5.064E-03;-1.938E-03 -3.374E-03;5.633E-03 -2.957E-03;7.119E-03 -4.021E-03;2.054E-03 5.100E-03;1.151E-03 1.600E-02;2.854E-03 1.176E-02;-2.101E-05 -6.073E-04;-1.990E-03 -7.178E-03;3.095E-03 -1.164E-02;9.713E-03 -1.707E-02;1.352E-02 -1.651E-02;1.611E-02 -1.252E-02;1.564E-02 -1.225E-02;1.085E-02 -1.003E-02;6.479E-03 -2.275E-03;3.534E-03 1.728E-03;-8.668E-04 5.298E-04;-3.089E-03 1.567E-03;-4.083E-04 4.815E-04;-1.230E-04 -7.460E-03;-4.968E-03 -9.645E-03;-5.555E-03 3.959E-04;1.150E-03 7.760E-03;5.518E-03 5.082E-03;2.570E-03 3.691E-03;-3.126E-03 7.077E-03;-8.310E-03 7.794E-03;-1.143E-02 7.860E-03;-8.538E-03 1.134E-02;-2.782E-04 9.734E-03;4.681E-03 -7.834E-04;1.076E-03 -7.328E-03;-4.655E-03 -2.641E-03;-3.733E-03 3.268E-03;2.184E-03 3.639E-03;5.053E-03 3.834E-03;3.341E-03 4.948E-03;1.573E-04 1.362E-03;-5.451E-03 -3.285E-03;-1.073E-02 3.140E-04;-4.938E-03 7.296E-03;8.991E-03 4.907E-03;9.946E-03 -2.665E-03;-5.500E-03 -6.414E-04;-1.395E-02 8.007E-03;-6.700E-03 7.978E-03;-1.364E-04 2.155E-04;1.318E-03 -3.007E-03;6.407E-03 -2.081E-03;7.542E-03 -2.748E-03
1.516E-03 -8.877E-04;-1.121E-03 1.474E-04;-1.886E-03 8.707E-04;-1.355E-03 2.069E-03;7.992E-04 3.257E-03;4.744E-03 1.436E-03;5.792E-03 -1.899E-03;1.611E-03 -2.315E-03;-2.976E-03 -5.911E-04;-4.465E-03 1.066E-03;-4.097E-03 3.428E-03;-2.872E-03 4.211E-03;-1.596E-03 5.775E-04;-1.136E-03 -2.964E-03;3.997E-04 -3.034E-03;3.516E-03 -3.437E-03;4.395E-03 -2.825E-03;2.537E-03 4.156E-03;1.690E-03 1.082E-02;1.175E-03 7.618E-03;-1.087E-03 6.634E-05;-1.158E-03 -4.450E-03;3.396E-03 -9.648E-03;8.183E-03 -1.519E-02;1.104E-02 -1.443E-02;1.335E-02 -1.110E-02;1.307E-02 -1.111E-02;9.465E-03 -8.189E-03;6.797E-03 -2.990E-04;4.872E-03 2.573E-03;-5.802E-06 1.726E-04;-4.015E-03 8.878E-04;-2.916E-03 2.418E-04;-2.508E-03 -6.844E-03;-5.961E-03 -8.402E-03;-5.551E-03 1.178E-03;1.101E-03 7.499E-03;4.894E-03 4.790E-03;8.843E-04 4.709E-03;-6.774E-03 1.035E-02;-1.363E-02 1.437E-02;-1.628E-02 1.635E-02;-1.232E-02 1.642E-02;-4.949E-03 8.768E-03;1.591E-04 -3.174E-03;1.512E-03 -7.628E-03;-1.077E-04 -3.548E-03;-2.504E-03 2.241E-03;-6.748E-04 7.714E-03;5.339E-03 9.662E-03;6.952E-03 3.060E-03;5.520E-04 -5.405E-03;-5.888E-03 -4.438E-03;-5.068E-03 1.852E-03;1.791E-03 1.588E-03;8.782E-03 -4.650E-03;9.266E-03 -8.066E-03;2.357E-03 -6.043E-03;-3.447E-03 -1.621E-03;-2.271E-03 2.202E-03;1.087E-03 3.118E-03;2.983E-03 6.222E-04;4.772E-03 -2.882E-03;2.433E-03 -3.905E-03
2.154E-03 2.439E-03;1.697E-04 7.715E-03;6.154E-04 8.756E-03;-5.565E-04 5.418E-03;-1.204E-03 2.085E-03;4.307E-03 -3.079E-03;9.045E-03 -1.036E-02;6.523E-03 -1.128E-02;5.819E-03 -5.011E-03;1.106E-02 -2.513E-03;1.088E-02 -5.559E-03;3.094E-03 -5.078E-03;-3.951E-04 -7.221E-04;2.069E-03 3.301E-04;1.972E-03 -1.927E-03;-5.986E-05 -2.993E-03;1.179E-03 -2.038E-03;2.717E-03 -1.063E-05;8.471E-04 2.015E-03;-1.380E-03 2.705E-03;-1.097E-03 2.257E-03;4.540E-04 1.447E-04;1.706E-03 -4.976E-03;2.502E-03 -9.191E-03;3.681E-03 -7.899E-03;5.616E-03 -5.485E-03;6.649E-03 -6.061E-03;6.051E-03 -4.173E-03;5.559E-03 1.317E-03;4.409E-03 2.498E-03;2.478E-04 1.587E-05;-3.840E-03 9.895E-04;-3.935E-03 1.161E-03;-3.414E-03 -4.256E-03;-5.116E-03 -5.550E-03;-4.245E-03 1.888E-03;1.059E-03 6.317E-03;3.974E-03 3.707E-03;-1.625E-04 4.355E-03;-8.287E-03 1.078E-02;-1.508E-02 1.641E-02;-1.659E-02 1.918E-02;-1.262E-02 1.706E-02;-7.179E-03 6.876E-03;-2.321E-03 -4.402E-03;2.130E-03 -7.492E-03;2.192E-03 -4.435E-03;-2.797E-03 1.715E-03;-2.486E-03 1.081E-02;6.266E-03 1.257E-02;8.967E-03 -5.278E-06;-3.481E-05 -1.022E-02;-5.297E-03 -4.384E-03;6.167E-04 1.996E-03;6.428E-03 -4.789E-03;7.530E-03 -1.255E-02;9.854E-03 -1.246E-02;1.091E-02 -1.239E-02;5.831E-03 -1.143E-02;1.321E-03 -1.865E-03;2.840E-03 7.127E-03;4.443E-03 3.600E-03;1.572E-03 -4.284E-03;-3.311E-03 -5.038E-03
2.540E-03 5.535E-03;1.319E-03 1.306E-02;2.701E-03 1.393E-02;4.961E-04 7.279E-03;-2.234E-03 2.956E-04;3.468E-03 -7.487E-03;1.015E-02 -1.677E-02;9.997E-03 -1.714E-02;1.437E-02 -8.244E-03;2.522E-02 -6.806E-03;2.326E-02 -1.410E-02;7.672E-03 -1.219E-02;7.088E-04 -5.082E-04;4.338E-03 3.880E-03;1.906E-03 -3.347E-04;-4.000E-03 -2.086E-03;-1.390E-03 -2.417E-03;2.665E-03 -6.286E-03;-9.070E-04 -7.501E-03;-3.863E-03 -1.275E-03;-3.613E-04 5.399E-03;1.695E-03 5.509E-03;-1.784E-03 1.370E-03;-5.566E-03 -6.636E-04;-6.492E-03 1.370E-03;-5.048E-03 3.220E-03;-1.724E-03 1.853E-03;1.510E-03 7.422E-04;2.704E-03 1.938E-03;2.296E-03 1.665E-03;5.509E-04 1.134E-04;-2.159E-03 1.690E-03;-3.374E-03 3.419E-03;-2.602E-03 5.502E-04;-2.401E-03 -1.473E-03;-2.296E-03 1.848E-03;3.192E-04 3.940E-03;2.974E-03 1.698E-03;5.217E-04 1.972E-03;-6.392E-03 7.160E-03;-1.172E-02 1.259E-02;-1.181E-02 1.543E-02;-9.006E-03 1.313E-02;-6.387E-03 4.300E-03;-2.634E-03 -4.411E-03;2.161E-03 -6.743E-03;1.683E-03 -4.796E-03;-4.037E-03 1.254E-03;-2.943E-03 1.104E-02;6.718E-03 1.154E-02;8.592E-03 -2.863E-03;-9.175E-04 -1.171E-02;-3.827E-03 -3.513E-03;4.242E-03 1.077E-03;7.800E-03 -9.107E-03;5.931E-03 -1.609E-02;1.078E-02 -1.420E-02;1.646E-02 -1.668E-02;1.096E-02 -1.745E-02;3.326E-03 -3.209E-03;4.320E-03 1.023E-02;4.959E-03 4.820E-03;-1.785E-03 -5.605E-03;-7.506E-03 -5.650E-03
2.508E-03 7.226E-03;1.987E-03 1.456E-02;3.909E-03 1.508E-02;1.608E-03 7.394E-03;-2.239E-03 -1.300E-03;1.979E-03 -1.003E-02;8.427E-03 -1.886E-02;1.062E-02 -1.825E-02;1.949E-02 -9.388E-03;3.345E-02 -9.947E-03;2.977E-02 -1.907E-02;9.889E-03 -1.522E-02;1.078E-03 7.372E-04;4.552E-03 6.693E-03;2.859E-04 1.368E-03;-6.911E-03 -1.231E-03;-2.543E-03 -3.870E-03;2.483E-03 -1.239E-02;-2.800E-03 -1.473E-02;-5.609E-03 -3.459E-03;4.247E-04 8.338E-03;1.950E-03 1.014E-02;-5.740E-03 7.521E-03;-1.325E-02 7.787E-03;-1.637E-02 1.086E-02;-1.542E-02 1.286E-02;-9.466E-03 1.038E-02;-3.034E-03 4.883E-03;-1.307E-03 1.358E-03;-6.686E-04 4.908E-04;1.442E-03 3.898E-04;7.534E-04 2.746E-03;-1.580E-03 6.890E-03;-1.870E-04 6.912E-03;1.564E-03 2.695E-03;-7.888E-04 5.442E-04;-1.582E-03 7.220E-04;2.422E-03 -8.549E-04;3.654E-03 -2.415E-03;-1.051E-03 -3.518E-04;-4.367E-03 3.752E-03;-3.149E-03 6.490E-03;-2.436E-03 5.746E-03;-3.269E-03 1.324E-03;-1.431E-03 -3.358E-03;1.419E-03 -5.219E-03;-9.504E-04 -4.486E-03;-5.637E-03 2.463E-04;-2.697E-03 7.757E-03;5.672E-03 7.141E-03;6.020E-03 -4.482E-03;-1.413E-03 -9.967E-03;-2.079E-03 -2.221E-03;4.613E-03 3.938E-04;5.925E-03 -9.031E-03;4.178E-03 -1.387E-02;1.022E-02 -1.209E-02;1.626E-02 -1.632E-02;1.073E-02 -1.741E-02;3.525E-03 -2.197E-03;4.824E-03 1.091E-02;4.492E-03 4.110E-03;-3.673E-03 -6.214E-03;-8.830E-03 -5.374E-03
2.002E-03 6.787E-03;2.051E-03 1.173E-02;3.946E-03 1.207E-02;2.356E-03 6.150E-03;-1.476E-03 -1.710E-03;-1.729E-05 -9.493E-03;4.016E-03 -1.583E-02;7.454E-03 -1.430E-02;1.866E-02 -7.615E-03;3.298E-02 -9.951E-03;2.894E-02 -1.853E-02;9.318E-03 -1.388E-02;2.190E-04 2.028E-03;2.530E-03 8.008E-03;-1.988E-03 2.797E-03;-7.752E-03 -6.421E-04;-2.101E-03 -5.398E-03;2.324E-03 -1.585E-02;-4.109E-03 -1.778E-02;-6.436E-03 -4.004E-03;6.637E-04 9.811E-03;1.490E-03 1.253E-02;-8.238E-03 1.130E-02;-1.775E-02 1.343E-02;-2.267E-02 1.792E-02;-2.206E-02 2.065E-02;-1.421E-02 1.672E-02;-6.538E-03 6.910E-03;-5.460E-03 -2.277E-05;-3.351E-03 -5.334E-04;2.932E-03 6.925E-04;3.971E-03 3.960E-03;8.515E-04 1.096E-02;3.326E-03 1.318E-02;5.604E-03 5.512E-03;-7.087E-04 -1.889E-03;-4.454E-03 -2.301E-03;2.895E-03 -3.147E-03;8.911E-03 -7.896E-03;6.212E-03 -9.886E-03;4.618E-03 -7.246E-03;6.855E-03 -4.604E-03;4.944E-03 -3.096E-03;5.245E-04 -1.647E-03;3.921E-04 -1.488E-03;4.543E-04 -3.009E-03;-4.332E-03 -3.801E-03;-7.359E-03 -1.583E-03;-2.796E-03 1.930E-03;2.882E-03 1.035E-03;2.222E-03 -4.706E-03;-1.227E-03 -6.187E-03;-7.123E-04 -5.611E-04;1.891E-03 1.389E-03;1.682E-03 -3.823E-03;1.884E-03 -6.304E-03;6.671E-03 -5.974E-03;9.819E-03 -1.053E-02;5.865E-03 -1.158E-02;2.203E-03 -1.718E-05;4.120E-03 8.814E-03;3.590E-03 2.082E-03;-3.130E-03 -5.810E-03;-7.226E-03 -4.011E-03
1.170E-03 4.240E-03;1.598E-03 5.319E-03;2.663E-03 5.893E-03;2.249E-03 4.455E-03;-2.268E-04 -2.045E-04;-1.905E-03 -5.791E-03;-2.185E-03 -8.631E-03;4.129E-04 -6.222E-03;1.113E-02 -2.517E-03;2.375E-02 -5.745E-03;2.135E-02 -1.255E-02;6.169E-03 -9.436E-03;-1.816E-03 2.377E-03;-8.582E-04 7.477E-03;-3.753E-03 3.696E-03;-6.294E-03 -5.428E-05;-4.179E-04 -5.583E-03;2.355E-03 -1.516E-02;-4.474E-03 -1.650E-02;-6.555E-03 -3.767E-03;2.719E-04 8.976E-03;1.285E-03 1.164E-02;-7.658E-03 1.101E-02;-1.722E-02 1.438E-02;-2.297E-02 2.049E-02;-2.254E-02 2.386E-02;-1.461E-02 1.853E-02;-8.222E-03 6.429E-03;-8.416E-03 -1.346E-03;-4.785E-03 -1.058E-03;4.370E-03 8.952E-04;6.281E-03 5.184E-03;3.304E-03 1.446E-02;7.079E-03 1.718E-02;8.366E-03 5.930E-03;-2.365E-03 -4.466E-03;-7.397E-03 -3.764E-03;4.526E-03 -4.220E-03;1.466E-02 -1.273E-02;1.274E-02 -1.828E-02;1.217E-02 -1.655E-02;1.506E-02 -1.428E-02;1.048E-02 -1.110E-02;3.156E-03 -4.020E-03;2.183E-03 8.764E-04;1.777E-04 -5.967E-04;-7.141E-03 -3.276E-03;-9.263E-03 -3.838E-03;-3.908E-03 -4.279E-03;-9.347E-04 -4.855E-03;-1.588E-03 -4.180E-03;-5.670E-04 -1.935E-03;-5.377E-05 1.645E-03;-2.596E-03 4.630E-03;-3.689E-03 5.121E-03;-1.427E-03 4.457E-03;1.014E-04 2.913E-03;-7.483E-04 -8.663E-04;-1.417E-03 -2.426E-03;1.152E-05 2.151E-03;2.564E-03 4.913E-03;2.945E-03 -3.175E-04;-3.609E-04 -4.524E-03;-3.694E-03 -1.622E-03
3.588E-04 3.087E-04;8.033E-04 -2.956E-03;7.939E-05 -1.559E-03;1.028E-03 3.386E-03;1.418E-03 3.252E-03;-2.804E-03 -1.368E-04;-8.768E-03 4.177E-04;-9.387E-03 4.073E-03;-1.512E-03 5.441E-03;8.428E-03 2.119E-03;9.368E-03 -3.161E-03;1.324E-03 -3.949E-03;-4.281E-03 1.229E-03;-4.133E-03 5.219E-03;-4.232E-03 4.047E-03;-3.190E-03 1.131E-03;1.871E-03 -3.397E-03;2.663E-03 -1.047E-02;-4.015E-03 -1.228E-02;-6.293E-03 -3.693E-03;-2.434E-04 5.776E-03;2.383E-03 7.267E-03;-3.490E-03 6.167E-03;-1.136E-02 1.022E-02;-1.651E-02 1.760E-02;-1.630E-02 2.079E-02;-1.078E-02 1.492E-02;-7.655E-03 4.177E-03;-8.941E-03 -1.699E-03;-4.614E-03 -1.013E-03;4.686E-03 9.860E-04;6.714E-03 6.261E-03;5.303E-03 1.594E-02;1.002E-02 1.701E-02;8.874E-03 3.920E-03;-5.080E-03 -5.642E-03;-9.184E-03 -2.590E-03;6.636E-03 -3.288E-03;1.838E-02 -1.477E-02;1.579E-02 -2.218E-02;1.566E-02 -2.084E-02;1.872E-02 -1.966E-02;1.197E-02 -1.617E-02;3.434E-03 -5.120E-03;3.683E-03 3.242E-03;1.207E-03 1.227E-03;-8.630E-03 -3.310E-03;-1.132E-02 -5.554E-03;-5.826E-03 -8.467E-03;-4.455E-03 -8.998E-03;-4.489E-03 -3.805E-03;4.271E-05 1.514E-03;1.040E-05 4.362E-03;-7.015E-03 9.206E-03;-8.927E-03 1.465E-02;-5.609E-03 1.513E-02;-7.648E-03 1.201E-02;-1.160E-02 9.189E-03;-8.399E-03 6.524E-03;-2.233E-03 3.722E-03;8.902E-04 9.104E-04;2.919E-03 -2.266E-03;3.380E-03 -2.804E-03;3.063E-04 1.373E-03
-3.853E-05 -3.887E-03;-2.015E-04 -1.089E-02;-3.512E-03 -8.038E-03;-1.089E-03 3.731E-03;3.551E-03 7.811E-03;-1.963E-03 5.365E-03;-1.412E-02 8.421E-03;-1.967E-02 1.413E-02;-1.574E-02 1.466E-02;-8.452E-03 1.146E-02;-3.660E-03 6.502E-03;-3.790E-03 5.778E-04;-6.002E-03 -1.342E-03;-5.944E-03 1.771E-03;-3.432E-03 4.076E-03;3.550E-04 3.423E-03;4.126E-03 1.102E-03;3.176E-03 -3.612E-03;-3.203E-03 -7.318E-03;-5.834E-03 -4.267E-03;-1.070E-04 1.004E-03;5.202E-03 2.882E-04;3.334E-03 -2.156E-03;-1.572E-03 2.121E-03;-4.615E-03 9.637E-03;-5.056E-03 1.150E-02;-4.105E-03 6.935E-03;-4.799E-03 1.664E-03;-6.414E-03 -5.841E-04;-3.237E-03 -6.056E-04;2.952E-03 1.071E-03;4.982E-03 6.951E-03;6.553E-03 1.418E-02;1.123E-02 1.203E-02;7.022E-03 6.254E-04;-7.378E-03 -4.031E-03;-8.918E-03 1.424E-03;7.783E-03 -8.676E-06;1.769E-02 -1.220E-02;1.375E-02 -1.939E-02;1.377E-02 -1.860E-02;1.639E-02 -1.931E-02;8.593E-03 -1.681E-02;1.285E-03 -4.469E-03;4.825E-03 4.935E-03;3.373E-03 1.713E-03;-8.681E-03 -3.903E-03;-1.305E-02 -5.708E-03;-7.566E-03 -9.006E-03;-6.439E-03 -1.054E-02;-6.130E-03 -4.107E-03;6.196E-05 3.423E-03;-1.590E-04 6.920E-03;-9.779E-03 1.292E-02;-1.284E-02 2.100E-02;-9.510E-03 2.226E-02;-1.350E-02 1.820E-02;-1.871E-02 1.568E-02;-1.284E-02 1.219E-02;-3.809E-03 4.779E-03;-1.913E-04 -1.545E-03;3.357E-03 -3.321E-03;6.436E-03 -1.234E-03;3.458E-03 4.173E-03
2.020E-04 -7.258E-03;-1.382E-03 -1.639E-02;-7.450E-03 -1.158E-02;-3.385E-03 5.609E-03;6.239E-03 1.194E-02;8.857E-04 8.526E-03;-1.676E-02 1.286E-02;-2.750E-02 2.138E-02;-2.717E-02 2.262E-02;-2.201E-02 1.922E-02;-1.425E-02 1.341E-02;-7.537E-03 2.893E-03;-5.942E-03 -4.706E-03;-5.735E-03 -2.050E-03;-2.080E-03 4.109E-03;3.126E-03 6.762E-03;5.889E-03 6.583E-03;3.669E-03 2.704E-03;-2.572E-03 -3.572E-03;-5.153E-03 -5.278E-03;1.180E-03 -3.909E-03;9.132E-03 -7.473E-03;1.072E-02 -1.159E-02;9.455E-03 -7.586E-03;9.511E-03 -1.616E-03;7.758E-03 -1.852E-03;3.281E-03 -2.722E-03;-4.542E-05 4.491E-04;-1.179E-03 1.801E-03;-1.556E-03 -1.990E-04;-1.033E-03 1.284E-03;1.602E-03 6.974E-03;6.907E-03 8.879E-03;1.028E-02 3.389E-03;3.725E-03 -2.111E-03;-7.656E-03 7.746E-04;-6.588E-03 7.360E-03;6.369E-03 5.345E-03;1.155E-02 -4.438E-03;6.895E-03 -9.984E-03;7.043E-03 -1.070E-02;8.495E-03 -1.351E-02;1.263E-03 -1.258E-02;-2.342E-03 -2.102E-03;5.411E-03 5.274E-03;5.714E-03 5.723E-04;-7.514E-03 -4.667E-03;-1.353E-02 -3.855E-03;-7.971E-03 -5.634E-03;-6.335E-03 -9.246E-03;-6.676E-03 -4.943E-03;-8.165E-04 3.491E-03;-2.857E-04 8.028E-03;-1.004E-02 1.326E-02;-1.434E-02 2.123E-02;-1.127E-02 2.333E-02;-1.454E-02 1.895E-02;-1.948E-02 1.585E-02;-1.363E-02 1.297E-02;-4.335E-03 5.720E-03;-3.490E-04 -1.535E-03;3.774E-03 -3.429E-03;7.542E-03 -3.434E-04;4.934E-03 5.769E-03
