1.205E-03 -3.854E-03;3.106E-03 -2.548E-04;3.735E-03 2.683E-03;1.506E-03 2.147E-03;-2.555E-03 7.122E-05;-4.168E-03 -6.603E-04;-1.455E-03 -7.536E-04;1.430E-03 -1.878E-03;1.279E-04 -2.241E-03;-2.984E-03 6.714E-04;-2.373E-03 4.790E-03;2.004E-03 5.815E-03;4.972E-03 3.905E-03;4.198E-03 3.097E-03;2.527E-03 4.409E-03;2.122E-03 4.491E-03;1.576E-03 1.604E-03;1.667E-05 -1.618E-03;-5.592E-04 -2.467E-03;1.020E-03 -1.394E-03;2.568E-03 1.984E-04;1.757E-03 1.954E-03;-6.030E-04 3.103E-03;-2.067E-03 2.083E-03;-1.502E-03 -8.388E-04;4.895E-04 -2.903E-03;2.424E-03 -2.156E-03;2.625E-03 2.472E-04;6.199E-04 1.738E-03;-1.901E-03 7.651E-04;-2.931E-03 -2.636E-03;-2.685E-03 -6.804E-03;-2.628E-03 -8.801E-03;-2.700E-03 -6.754E-03;-1.828E-03 -2.207E-03;-6.854E-04 1.386E-03;-1.176E-03 2.416E-03;-3.106E-03 1.854E-03;-3.992E-03 8.301E-04;-2.558E-03 -3.117E-04;-1.544E-04 -8.512E-04;1.659E-03 5.724E-06;2.747E-03 1.476E-03;3.192E-03 1.855E-03;2.586E-03 8.925E-04;1.197E-03 -3.475E-04;8.746E-05 -1.735E-03;-4.597E-04 -3.891E-03;-1.112E-03 -5.806E-03;-1.806E-03 -5.248E-03;-1.565E-03 -2.190E-03;-3.901E-04 4.854E-04;3.245E-04 6.500E-04;-1.687E-04 -5.647E-04;-9.066E-04 -9.903E-04;-7.624E-04 -4.594E-04;1.213E-04 -2.593E-04;9.477E-04 -7.059E-04;1.255E-03 -8.352E-04;7.949E-04 -2.066E-04;-6.497E-04 2.535E-04;-2.692E-03 -3.489E-04;-4.149E-03 -1.162E-03;-3.946E-03 -5.078E-05
-1.863E-03 1.248E-05;1.406E-03 6.578E-04;3.948E-03 1.950E-04;3.129E-03 -8.300E-04;4.427E-05 -1.131E-03;-2.288E-03 -1.128E-03;-2.766E-03 -1.895E-03;-2.309E-03 -2.832E-03;-1.634E-03 -2.611E-03;-1.041E-03 -1.409E-03;-1.150E-03 -2.920E-04;-1.859E-03 5.215E-04;-1.781E-03 1.111E-03;-3.840E-04 9.124E-04;7.551E-04 -6.265E-05;3.997E-04 -5.069E-04;-3.406E-04 1.823E-04;-6.735E-05 7.510E-04;6.301E-04 2.958E-04;6.487E-04 -2.069E-04;3.496E-04 3.694E-05;3.888E-04 8.324E-05;3.086E-04 -6.834E-04;-1.157E-04 -9.839E-04;9.921E-05 1.313E-04;1.211E-03 1.379E-03;1.629E-03 1.274E-03;3.244E-04 3.654E-04;-1.291E-03 -9.939E-05;-1.394E-03 -9.722E-05;-2.108E-04 -1.741E-05;8.361E-04 4.427E-04;1.052E-03 1.241E-03;5.254E-04 1.365E-03;-3.776E-04 4.524E-04;-8.025E-04 -3.305E-04;-7.649E-05 -6.242E-06;9.488E-04 8.316E-04;7.336E-04 1.063E-03;-5.141E-04 3.622E-04;-9.539E-04 -8.326E-04;1.079E-04 -1.576E-03;1.328E-03 -8.094E-04;1.440E-03 1.187E-03;5.902E-04 2.259E-03;-5.134E-04 9.216E-04;-1.214E-03 -1.227E-03;-8.218E-04 -1.559E-03;5.035E-04 -1.377E-04;1.200E-03 8.027E-04;2.353E-04 4.028E-04;-1.075E-03 -1.886E-04;-9.031E-04 -2.586E-04;2.776E-04 -2.447E-04;6.196E-04 -2.666E-04;-2.508E-04 -1.969E-05;-1.255E-03 1.544E-04;-1.797E-03 -1.595E-04;-1.792E-03 -3.294E-04;-8.256E-04 3.503E-04;8.329E-04 1.396E-03;1.618E-03 2.159E-03;8.552E-04 2.792E-03;9.393E-05 2.943E-03
-2.894E-03 -5.065E-05;2.399E-04 1.498E-03;3.686E-03 1.109E-03;3.689E-03 -6.207E-04;7.764E-04 -1.429E-03;-1.677E-03 -1.191E-03;-2.145E-03 -1.392E-03;-1.642E-03 -2.083E-03;-1.106E-03 -2.036E-03;-6.770E-04 -1.101E-03;-6.682E-04 -1.895E-04;-1.118E-03 3.486E-04;-1.165E-03 6.457E-04;-3.923E-04 5.086E-04;2.709E-04 2.758E-05;1.914E-04 -1.099E-04;1.276E-04 9.851E-05;5.716E-04 -1.816E-04;7.154E-04 -7.507E-04;1.931E-04 -3.097E-04;-2.931E-05 9.273E-04;3.853E-04 9.227E-04;3.435E-04 -7.634E-04;-3.884E-04 -1.744E-03;-3.195E-04 -4.506E-04;1.034E-03 1.366E-03;1.787E-03 1.459E-03;5.874E-04 2.657E-04;-1.137E-03 -4.349E-04;-1.400E-03 -2.223E-04;-4.057E-04 2.616E-04;3.527E-04 7.717E-04;3.141E-04 1.173E-03;-6.019E-05 9.485E-04;-2.461E-04 1.419E-04;1.030E-04 -2.682E-04;8.467E-04 3.037E-04;1.014E-03 1.244E-03;-4.130E-05 1.587E-03;-1.227E-03 8.342E-04;-9.357E-04 -8.348E-04;5.541E-04 -2.142E-03;1.504E-03 -1.289E-03;1.244E-03 1.586E-03;5.687E-04 3.523E-03;3.964E-05 2.214E-03;-3.258E-04 -6.214E-04;-1.568E-04 -1.528E-03;6.814E-04 -8.572E-05;1.140E-03 1.084E-03;3.743E-04 4.558E-04;-6.063E-04 -8.089E-04;-3.885E-04 -1.185E-03;5.605E-04 -5.306E-04;7.681E-04 4.462E-04;-6.388E-06 8.867E-04;-1.012E-03 2.399E-04;-1.862E-03 -8.540E-04;-2.142E-03 -9.441E-04;-1.083E-03 1.129E-04;8.166E-04 8.478E-04;1.527E-03 8.008E-04;4.125E-04 1.270E-03;-5.265E-04 2.298E-03
-3.019E-03 -5.982E-04;-1.002E-03 1.540E-03;2.490E-03 1.756E-03;3.367E-03 3.402E-05;1.247E-03 -1.130E-03;-9.275E-04 -9.595E-04;-1.425E-03 -7.557E-04;-9.928E-04 -1.030E-03;-5.699E-04 -1.009E-03;-2.982E-04 -4.496E-04;-2.646E-04 1.045E-04;-4.205E-04 3.971E-04;-3.114E-04 4.430E-04;3.075E-05 1.753E-04;-5.325E-05 -5.398E-05;-3.952E-04 2.363E-04;3.717E-05 4.134E-04;1.073E-03 -5.272E-04;1.194E-03 -1.670E-03;1.865E-04 -9.647E-04;-2.892E-04 1.151E-03;3.708E-04 1.691E-03;6.518E-04 -3.130E-04;-1.687E-04 -2.049E-03;-5.776E-04 -1.191E-03;3.714E-04 7.378E-04;1.206E-03 1.076E-03;5.404E-04 -1.205E-04;-6.367E-04 -9.015E-04;-7.767E-04 -4.272E-04;-1.696E-04 5.887E-04;-5.150E-05 1.279E-03;-5.955E-04 1.185E-03;-9.652E-04 3.233E-04;-4.906E-04 -5.265E-04;7.759E-04 -4.147E-04;1.884E-03 5.827E-04;1.463E-03 1.528E-03;-5.438E-04 1.777E-03;-2.083E-03 1.119E-03;-1.347E-03 -4.702E-04;6.775E-04 -1.969E-03;1.617E-03 -1.375E-03;9.908E-04 1.616E-03;2.516E-04 4.113E-03;2.354E-04 3.357E-03;5.257E-04 5.748E-04;8.171E-04 -7.652E-04;1.078E-03 2.415E-04;8.630E-04 1.296E-03;6.087E-05 5.991E-04;-3.595E-04 -1.077E-03;2.397E-04 -1.922E-03;9.343E-04 -1.064E-03;7.233E-04 8.181E-04;2.871E-05 1.886E-03;-5.128E-04 8.564E-04;-1.173E-03 -1.082E-03;-1.767E-03 -1.465E-03;-1.099E-03 -1.679E-04;7.222E-04 3.738E-04;1.536E-03 -6.921E-04;3.726E-04 -1.175E-03;-8.325E-04 5.243E-05
-2.230E-03 -1.059E-03;-1.558E-03 9.114E-04;1.079E-03 1.654E-03;2.277E-03 5.546E-04;1.148E-03 -4.549E-04;-3.066E-04 -4.349E-04;-7.134E-04 -1.623E-04;-5.061E-04 -9.483E-05;-2.938E-04 6.997E-05;-1.689E-04 3.242E-04;-1.615E-04 4.346E-04;-7.803E-05 4.901E-04;3.829E-04 4.385E-04;7.019E-04 5.463E-05;4.240E-05 -1.691E-04;-9.098E-04 3.973E-04;-4.997E-04 8.420E-04;1.038E-03 -2.790E-04;1.555E-03 -2.001E-03;4.606E-04 -1.689E-03;-3.004E-04 6.713E-04;3.806E-04 1.875E-03;1.040E-03 2.880E-04;4.460E-04 -1.673E-03;-3.597E-04 -1.421E-03;-2.156E-04 8.398E-05;2.069E-04 3.985E-04;3.537E-05 -6.699E-04;-1.491E-04 -1.348E-03;3.036E-04 -6.173E-04;6.561E-04 8.738E-04;-7.760E-06 1.817E-03;-1.246E-03 1.331E-03;-1.806E-03 -2.320E-04;-9.443E-04 -1.308E-03;1.006E-03 -7.543E-04;2.561E-03 7.192E-04;1.984E-03 1.621E-03;-5.833E-04 1.561E-03;-2.539E-03 9.492E-04;-1.795E-03 -1.352E-04;4.349E-04 -1.236E-03;1.416E-03 -8.575E-04;6.045E-04 1.530E-03;-2.567E-04 3.791E-03;6.716E-06 3.550E-03;9.275E-04 1.523E-03;1.636E-03 3.706E-04;1.576E-03 9.177E-04;5.645E-04 1.519E-03;-6.179E-04 7.462E-04;-5.939E-04 -9.893E-04;6.256E-04 -2.183E-03;1.299E-03 -1.545E-03;5.768E-04 7.494E-04;-2.459E-04 2.532E-03;-1.705E-04 1.716E-03;-9.207E-05 -6.675E-04;-6.100E-04 -1.513E-03;-5.452E-04 -2.822E-04;6.837E-04 1.503E-04;1.474E-03 -1.702E-03;6.594E-04 -3.451E-03;-4.734E-04 -2.912E-03
-1.099E-03 -9.763E-04;-1.191E-03 1.933E-04;2.074E-04 8.734E-04;9.431E-04 5.002E-04;4.670E-04 1.503E-04;-4.212E-05 2.263E-04;-8.134E-05 3.178E-04;-1.105E-04 4.657E-04;-2.592E-04 8.226E-04;-3.593E-04 9.505E-04;-4.394E-04 6.597E-04;-2.377E-04 4.593E-04;5.895E-04 4.300E-04;1.245E-03 8.635E-05;4.940E-04 -2.116E-04;-9.697E-04 3.858E-04;-1.017E-03 1.122E-03;5.277E-04 2.701E-04;1.415E-03 -1.650E-03;6.064E-04 -1.994E-03;-1.781E-04 -1.384E-04;4.362E-04 1.293E-03;1.343E-03 4.940E-04;1.143E-03 -9.239E-04;2.606E-04 -8.812E-04;-3.579E-04 3.567E-06;-7.005E-04 -5.815E-05;-7.685E-04 -1.083E-03;2.942E-06 -1.564E-03;1.362E-03 -6.259E-04;1.823E-03 1.124E-03;5.786E-04 2.222E-03;-1.316E-03 1.508E-03;-2.181E-03 -5.474E-04;-1.262E-03 -1.861E-03;8.946E-04 -1.055E-03;2.617E-03 7.369E-04;2.133E-03 1.509E-03;-3.706E-04 9.986E-04;-2.323E-03 2.957E-04;-1.742E-03 -1.376E-04;1.873E-04 -3.664E-04;9.230E-04 1.270E-04;2.716E-05 1.581E-03;-8.231E-04 2.769E-03;-4.443E-04 2.467E-03;8.116E-04 1.398E-03;1.922E-03 1.103E-03;1.865E-03 1.617E-03;3.179E-04 1.729E-03;-1.383E-03 8.212E-04;-1.257E-03 -6.936E-04;4.967E-04 -1.905E-03;1.409E-03 -1.648E-03;3.801E-04 4.422E-04;-7.126E-04 2.561E-03;-2.233E-04 2.292E-03;8.023E-04 1.231E-04;8.991E-04 -9.314E-04;6.172E-04 1.313E-05;9.241E-04 2.704E-04;1.253E-03 -1.953E-03;8.815E-04 -4.629E-03;3.594E-04 -5.210E-03
-3.320E-04 -3.521E-04;-2.638E-04 -3.588E-05;2.228E-04 -3.515E-05;-9.754E-06 -1.126E-04;-4.910E-04 3.163E-04;-2.205E-04 7.373E-04;3.633E-04 6.357E-04;3.112E-04 6.194E-04;-2.274E-04 1.077E-03;-6.791E-04 1.240E-03;-9.669E-04 7.083E-04;-8.187E-04 2.592E-04;2.133E-04 2.615E-04;1.325E-03 8.881E-05;9.735E-04 -2.069E-04;-5.239E-04 2.739E-04;-1.053E-03 1.146E-03;-4.861E-06 7.639E-04;8.102E-04 -8.760E-04;3.106E-04 -1.683E-03;-2.032E-04 -7.690E-04;4.618E-04 2.133E-04;1.474E-03 1.064E-08;1.614E-03 -3.930E-04;9.311E-04 1.119E-04;-7.154E-05 6.744E-04;-1.135E-03 1.299E-04;-1.492E-03 -1.012E-03;-2.311E-04 -1.340E-03;1.912E-03 -2.975E-04;2.780E-03 1.419E-03;1.416E-03 2.409E-03;-7.899E-04 1.537E-03;-1.874E-03 -6.621E-04;-1.127E-03 -1.968E-03;7.393E-04 -1.008E-03;2.136E-03 8.247E-04;1.651E-03 1.276E-03;-3.286E-04 2.312E-04;-1.626E-03 -6.639E-04;-9.291E-04 -5.154E-04;4.273E-04 2.770E-04;4.860E-04 1.199E-03;-6.279E-04 1.805E-03;-1.324E-03 1.487E-03;-8.175E-04 4.232E-04;4.586E-04 -6.138E-05;1.651E-03 7.362E-04;1.692E-03 1.740E-03;3.020E-05 1.691E-03;-1.971E-03 7.316E-04;-2.012E-03 -3.920E-04;-1.129E-04 -1.266E-03;1.050E-03 -1.241E-03;6.392E-05 2.507E-04;-1.168E-03 2.083E-03;-5.773E-04 2.195E-03;1.112E-03 7.134E-04;2.070E-03 3.772E-06;1.987E-03 7.721E-04;1.526E-03 7.604E-04;9.790E-04 -1.520E-03;6.843E-04 -4.409E-03;1.032E-03 -5.773E-03
-2.804E-04 3.721E-04;5.954E-04 3.763E-04;9.169E-04 -4.508E-04;-2.256E-04 -8.215E-04;-1.278E-03 1.895E-05;-7.209E-04 8.517E-04;5.054E-04 7.078E-04;7.531E-04 4.729E-04;3.352E-05 9.164E-04;-7.940E-04 1.190E-03;-1.428E-03 6.135E-04;-1.535E-03 -9.885E-06;-5.654E-04 -4.541E-05;8.488E-04 -6.307E-05;1.122E-03 -2.715E-04;1.361E-04 9.038E-05;-4.779E-04 9.422E-04;-6.287E-05 9.833E-04;1.751E-04 -7.925E-05;-3.721E-04 -9.253E-04;-5.767E-04 -9.004E-04;3.104E-04 -8.431E-04;1.392E-03 -1.039E-03;1.698E-03 -5.072E-04;1.282E-03 9.010E-04;3.237E-04 1.702E-03;-1.050E-03 9.616E-04;-1.777E-03 -2.952E-04;-6.027E-04 -5.663E-04;1.769E-03 4.276E-04;2.989E-03 1.829E-03;1.952E-03 2.391E-03;-2.312E-06 1.289E-03;-9.858E-04 -7.669E-04;-4.440E-04 -1.684E-03;8.138E-04 -4.570E-04;1.438E-03 1.219E-03;6.379E-04 1.115E-03;-7.516E-04 -5.440E-04;-9.347E-04 -1.660E-03;3.955E-04 -1.064E-03;1.364E-03 5.967E-04;5.443E-04 2.005E-03;-1.044E-03 2.019E-03;-1.608E-03 2.986E-04;-8.886E-04 -1.865E-03;2.641E-04 -2.364E-03;1.151E-03 -8.238E-04;1.083E-03 8.320E-04;-4.209E-04 1.042E-03;-2.285E-03 3.293E-04;-2.460E-03 -2.564E-04;-8.421E-04 -5.644E-04;2.553E-04 -4.798E-04;-4.872E-04 4.117E-04;-1.499E-03 1.496E-03;-9.180E-04 1.462E-03;8.770E-04 6.185E-04;2.398E-03 6.873E-04;2.895E-03 1.687E-03;2.242E-03 1.507E-03;8.216E-04 -6.819E-04;4.442E-05 -3.145E-03;9.402E-04 -4.441E-03
-7.506E-04 6.647E-04;9.585E-04 1.072E-03;1.743E-03 -1.324E-04;1.933E-04 -1.060E-03;-1.578E-03 -3.916E-04;-1.268E-03 5.592E-04;3.146E-04 4.616E-04;1.059E-03 1.439E-04;5.332E-04 5.778E-04;-4.687E-04 9.834E-04;-1.475E-03 5.148E-04;-2.003E-03 -1.567E-04;-1.374E-03 -2.929E-04;1.668E-05 -3.069E-04;7.868E-04 -4.708E-04;5.956E-04 -1.880E-04;4.288E-04 5.825E-04;5.243E-04 8.948E-04;8.069E-06 4.386E-04;-1.030E-03 -9.087E-05;-1.204E-03 -5.555E-04;-9.243E-05 -1.433E-03;1.080E-03 -2.114E-03;1.403E-03 -1.220E-03;1.137E-03 9.656E-04;4.667E-04 2.371E-03;-6.956E-04 1.930E-03;-1.508E-03 8.400E-04;-7.460E-04 6.411E-04;1.152E-03 1.453E-03;2.264E-03 2.326E-03;1.691E-03 2.222E-03;5.101E-04 7.539E-04;8.835E-05 -1.047E-03;5.956E-04 -1.276E-03;1.184E-03 4.598E-04;8.528E-04 2.000E-03;-5.289E-04 1.230E-03;-1.578E-03 -1.098E-03;-6.652E-04 -2.431E-03;1.630E-03 -1.501E-03;2.690E-03 7.458E-04;1.254E-03 2.432E-03;-8.835E-04 2.011E-03;-1.482E-03 -6.778E-04;-5.702E-04 -3.714E-03;4.668E-04 -4.550E-03;8.461E-04 -2.908E-03;3.584E-04 -9.871E-04;-1.010E-03 -4.007E-04;-2.370E-03 -5.379E-04;-2.372E-03 -3.956E-04;-1.213E-03 -5.344E-05;-6.326E-04 3.025E-04;-1.261E-03 8.691E-04;-1.733E-03 1.178E-03;-9.706E-04 5.340E-04;5.009E-04 -1.835E-04;1.895E-03 5.910E-04;2.836E-03 2.178E-03;2.571E-03 2.173E-03;7.906E-04 2.183E-04;-7.429E-04 -1.515E-03;-2.194E-05 -1.960E-03
-1.230E-03 3.001E-04;8.619E-04 1.480E-03;2.233E-03 6.234E-04;8.111E-04 -5.854E-04;-1.392E-03 -4.503E-04;-1.594E-03 1.319E-04;-9.560E-05 -5.422E-05;1.045E-03 -2.951E-04;1.021E-03 2.774E-04;2.287E-04 8.719E-04;-9.541E-04 6.007E-04;-1.917E-03 7.166E-06;-1.812E-03 -2.288E-04;-7.847E-04 -4.112E-04;1.089E-04 -7.067E-04;5.934E-04 -5.479E-04;1.181E-03 1.264E-04;1.477E-03 5.756E-04;4.927E-04 5.772E-04;-1.190E-03 4.892E-04;-1.703E-03 -1.303E-05;-6.073E-04 -1.426E-03;5.913E-04 -2.693E-03;8.425E-04 -2.045E-03;5.656E-04 2.925E-04;1.930E-04 2.137E-03;-3.976E-04 2.302E-03;-8.385E-04 1.793E-03;-4.199E-04 1.879E-03;5.307E-04 2.500E-03;9.038E-04 2.761E-03;5.188E-04 1.918E-03;3.101E-04 3.019E-05;8.311E-04 -1.544E-03;1.581E-03 -1.034E-03;1.663E-03 1.362E-03;5.095E-04 2.959E-03;-1.445E-03 1.675E-03;-2.431E-03 -1.241E-03;-8.608E-04 -2.775E-03;2.227E-03 -1.613E-03;3.730E-03 9.442E-04;2.274E-03 2.598E-03;-8.470E-05 1.723E-03;-8.040E-04 -1.488E-03;1.185E-04 -4.779E-03;1.030E-03 -5.740E-03;9.347E-04 -4.423E-03;-1.139E-04 -2.924E-03;-1.531E-03 -2.345E-03;-2.293E-03 -1.855E-03;-1.778E-03 -8.346E-04;-9.220E-04 1.611E-04;-1.134E-03 8.092E-04;-2.015E-03 1.328E-03;-1.924E-03 1.219E-03;-6.816E-04 -6.791E-05;4.212E-04 -1.212E-03;1.056E-03 -3.240E-04;1.834E-03 1.757E-03;2.099E-03 2.267E-03;6.567E-04 8.117E-04;-1.345E-03 -1.468E-04;-1.386E-03 5.409E-04
-1.321E-03 -4.952E-04;6.898E-04 1.248E-03;2.291E-03 1.220E-03;1.192E-03 3.324E-04;-9.967E-04 5.478E-05;-1.594E-03 -5.222E-05;-5.127E-04 -6.165E-04;6.655E-04 -7.724E-04;1.153E-03 1.043E-04;9.197E-04 1.004E-03;-4.964E-05 9.963E-04;-1.223E-03 5.709E-04;-1.625E-03 2.963E-04;-1.170E-03 -1.327E-04;-5.676E-04 -7.449E-04;1.674E-04 -8.558E-04;1.405E-03 -3.447E-04;2.254E-03 1.315E-04;1.347E-03 3.929E-04;-6.879E-04 6.662E-04;-1.663E-03 4.069E-04;-8.987E-04 -1.002E-03;1.092E-04 -2.530E-03;1.897E-04 -2.387E-03;-2.148E-04 -6.139E-04;-4.020E-04 1.017E-03;-3.302E-04 1.597E-03;-4.825E-05 1.884E-03;3.641E-04 2.549E-03;3.346E-04 3.146E-03;-4.681E-04 2.883E-03;-1.175E-03 1.428E-03;-6.537E-04 -7.584E-04;8.744E-04 -2.134E-03;2.075E-03 -1.070E-03;1.920E-03 1.860E-03;2.992E-04 3.660E-03;-1.913E-03 2.232E-03;-2.879E-03 -9.363E-04;-1.187E-03 -2.575E-03;2.061E-03 -1.317E-03;3.882E-03 1.302E-03;2.919E-03 2.679E-03;9.729E-04 1.275E-03;3.365E-04 -2.172E-03;1.074E-03 -5.088E-03;1.717E-03 -5.571E-03;1.264E-03 -4.477E-03;-2.121E-04 -3.890E-03;-1.764E-03 -3.988E-03;-2.055E-03 -3.271E-03;-8.798E-04 -1.461E-03;-2.422E-06 1.254E-04;-9.298E-04 9.375E-04;-2.375E-03 1.480E-03;-2.018E-03 1.386E-03;-1.877E-04 -1.144E-04;8.017E-04 -1.820E-03;4.877E-04 -1.521E-03;4.470E-04 4.360E-04;8.546E-04 1.430E-03;1.413E-04 7.537E-04;-1.661E-03 5.792E-04;-2.458E-03 2.178E-03
